orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
974635402,84.120,993.0,ÅS KOMMUNE OPPVEKST OG KULTUR,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
974642840,84.110,154.0,ÅS KOMMUNE SENTRALADMINISTRASJON,Generell offentlig administrasjon
974637626,84.130,189.0,ÅS KOMMUNE TEKNIKK OG MILJØ,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
985833702,21.100,10.0,ÅS PRODUKSJONSLAB AS,Produksjon av farmasøytiske råvarer
998547334,69.201,4.0,ÅS REGNSKAP AS,Regnskap og bokføring
947941755,43.221,13.0,ÅS RØRLEGGERBEDRIFT AS,Rørleggerarbeid
955359720,68.201,2.0,ÅSANE BORETTSLAG,Borettslag
962116663,41.200,129.0,ÅSANE BYGGMESTERFORRETNING AS,Oppføring av bygninger
871561532,85.591,34.0,ÅSANE FOLKEHØGSKOLE,Folkehøgskoleundervisning
979466544,93.120,49.0,ÅSANE FOTBALL,Idrettslag og -klubber
979786379,56.101,9.0,ÅSANE GRILLKJØKKEN AS,Drift av restauranter og kafeer
985322082,88.911,34.0,ÅSANE GÅRDS- OG FRILUFTSBARNEHAGE AS,Barnehager
992238836,86.211,6.0,ÅSANE LEGEKONTOR AS,Allmenn legetjeneste
988440388,47.591,10.0,ÅSANE MØBLER AS,Butikkhandel med møbler
984620837,93.120,18.0,ÅSANE RIDEKLUBB,Idrettslag og -klubber
857187342,68.209,8.0,ÅSANE STORSENTER DA,Utleie av egen eller leid fast eiendom ellers
837132142,85.530,16.0,ÅSANE TRAFIKKSKOLE AS,Trafikkskoleundervisning
986058494,88.911,17.0,ÅSATUA NATURBARNEHAGE SA,Barnehager
993441775,96.020,1.0,ÅSBRÅTEN FRISØR Vivi Ho,Frisering og annen skjønnhetspleie
993011088,97.000,5.0,ÅSBRÅTEN SAMEIE,Lønnet arbeid i private husholdninger
885922872,88.911,55.0,ÅSE BARNEHAGE AS,Barnehager
968533150,47.111,28.0,ÅSE DAGLIGVARER AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
992463597,85.201,15.0,ÅSE OG OMEGN PRIVATSKOLELAG,Ordinær grunnskoleundervisning
853005622,47.540,7.0,ÅSE SERVICESENTER AS,Butikkhandel med elektriske husholdningsapparater
916772505,47.111,15.0,ÅSE SÆTHER AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
822812422,88.911,38.0,ÅSEBØEN FUS BARNEHAGE AS,Barnehager
976742117,41.200,106.0,ÅSEN & ØVRELID AS,Oppføring av bygninger
971308842,88.911,13.0,ÅSEN FORELDRELAG SA,Barnehager
971029161,46.210,4.0,ÅSEN INNKJØPSLAG SA,"Engroshandel med korn, råtobakk, såvarer og fôrvarer"
915588794,86.211,3.0,ÅSEN LEGESENTER AS,Allmenn legetjeneste
971428937,69.201,4.0,ÅSEN REGNSKAPSLAG SA,Regnskap og bokføring
986343148,45.200,13.0,ÅSENSENTERET BILVERKSTED AS,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler"
914405564,88.999,2.0,ÅSERAL FRIVILLIGSENTRAL,Andre sosialtjenester uten botilbud
